typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"S","A","20230101","2023","52","2023","616","POL","Poland","M","Import","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4508890174.59",,"4508890174.59","0","true","false",
"S","A","20230101","2023","52","2023","616","POL","Poland","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","10390883378.607",,"10390883378.607","0","true","false",
"S","A","20230101","2023","52","2023","620","PRT","Portugal","M","Import","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1732192329.24",,"1732192329.24","0","true","false",
"S","A","20230101","2023","52","2023","620","PRT","Portugal","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5142513556.72",,"5142513556.72","0","true","false",
"S","A","20230101","2023","52","2023","703","SVK","Slovakia","M","Import","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","357034898.324",,"357034898.324","0","true","false",
"S","A","20230101","2023","52","2023","703","SVK","Slovakia","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","622702598.258",,"622702598.258","0","true","false",
"S","A","20230101","2023","52","2023","705","SVN","Slovenia","M","Import","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","145430629.39",,"145430629.39","0","true","false",
"S","A","20230101","2023","52","2023","705","SVN","Slovenia","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","396176822.368",,"396176822.368","0","true","false",
"S","A","20230101","2023","52","2023","724","ESP","Spain","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5618271749.52",,"5618271749.52","0","true","false",
"S","A","20230101","2023","52","2023","764","THA","Thailand","M","Import","842","USA","USA","0","W00","World","EB10","EB","true","200","Total EBOPS 2010 Services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","3961283401.33",,"3961283401.33","0","true","false",
"S","A","20230101","2023","52","2023","764","THA","Thailand","X","Export","842","USA","USA","0","W00","World","EB10","EB","true","200","Total EBOPS 2010 Services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5849073526.93",,"5849073526.93","0","true","false",
"S","A","20230101","2023","52","2023","752","SWE","Sweden","M","Import","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","14779752735.6",,"14779752735.6","0","true","false",
"S","A","20230101","2023","52","2023","752","SWE","Sweden","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","13800880247.577",,"13800880247.577","0","true","false",
"S","A","20230101","2023","52","2023","757","CHE","Switzerland","M","Import","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","30455877162.984",,"30455877162.984","0","true","false",
"S","A","20230101","2023","52","2023","757","CHE","Switzerland","X","Export","842","USA","USA","0","W00","World","EB10S","EB","true","S","Total EBOPS Services","1","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","20896489358.539",,"20896489358.539","0","true","false",
